Chave do Ticket,Tipo de Solicitacao,Resumo,Status Atual,Criador,Atribuido Para,Resolucao,SLA: Primeira Resposta (Foi Violado?),SLA: Primeira Resposta (Tempo Gasto),SLA: Tempo Resolucao (Foi Violado?),SLA: Tempo Resolucao (Tempo Gasto),Data de Criacao
"GC-8822","[System] Incident","LAGAP_BVISTA_AC OFF ","Fechada","Gabriel Almeida Mattos","NOC Grupo Cednet","Feito","NAO","12m","NAO","1h 12m","15/01/2026, 22:07:18"
"GC-8821","[System] Incident","SCRP_CTO_10C3 até 10C8","Fechada","Fernando Felipe Constantino Callegari","NOC Grupo Cednet","Concluído","NAO","6m","NAO","3h 27m","15/01/2026, 15:31:17"
"GC-8819","[System] Incident","CLPLAP_PONTOVENDA_SE_AC","Fechada","Fernando Felipe Constantino Callegari","Infraestrutura","Feito","NAO","13m","NAO","55m","15/01/2026, 13:29:57"
"GC-8818","[System] Incident","SRT_CX_35C2 OFF","Fechada","Leonardo Henrique ","N/A","Duplicado","NAO","9m","NAO","9m","15/01/2026, 11:54:44"
"GC-8817","[System] Incident","SRT_CX_35C2 - Indisponível.","Fechada","Elivelton Marques do Santos","N/A","Feito","NAO","7m","NAO","3h 43m","15/01/2026, 11:52:23"
"GC-8816","[System] Incident","SALTO_IT_CX_12A - Indisponível","Fechada","Marcio David Pereira do Carmo","N/A","Feito","NAO","4m","NAO","2h 5m","15/01/2026, 10:42:13"
"GC-8815","[System] Incident","BB_CX_08-Indisponível.","Fechada","Elivelton Marques do Santos","Infraestrutura","Feito","NAO","5m","SIM","8h 47m","15/01/2026, 09:44:22"
"GC-8811","[System] Incident","PTP Santa Cruz x Bernardino - Indisponível","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 55m","15/01/2026, 07:17:31"
"GC-8810","[System] Incident","CQC PON 1/1/5 - AVR_CX_02A até CX_02D","Fechada","Vinicius de Moraes","N/A","Feito","NAO","0m","NAO","2h 35m","15/01/2026, 00:38:15"
"GC-8809","[System] Incident","SCRP_CX_203C - OFF","Fechada","Maria Eduarda","N/A","Concluído","NAO","23m","NAO","1h 34m","14/01/2026, 17:33:40"
"GC-8807","[System] Incident","GC CLPL Alto Dos Diogos - TINTERMITENTE","Fechada","Gustavo Gigliotte Teixeira","N/A","Feito","NAO","12m","NAO","12m","14/01/2026, 14:29:46"
"GC-8806","[System] Incident","FE_CX_02 - Sem Sinal","Fechada","Julberto Capra Jr","Infraestrutura","Feito","NAO","18m","NAO","38m","14/01/2026, 13:13:50"
"GC-8803","[System] Incident","CC_CX_41F1 - Indisponível","Fechada","Emanuel","N/A","Feito","NAO","11m","NAO","1h 12m","14/01/2026, 09:41:07"
"GC-8801","[System] Incident","CLPLAP_MINGO_SUL_AC - Indisponível","Fechada","João Gabriel Povoa de Goes","N/A","Feito","NAO","17m","NAO","18m","14/01/2026, 09:10:52"
"GC-8800","[System] Incident","OUR_A3_CTO_10G - Indisponivel","Fechada","Alisson Miguel Bertocci","N/A","Concluído","NAO","21m","NAO","31m","14/01/2026, 08:26:23"
"GC-8799","[System] Incident","PRJAP_SHANGRILA_M5","Fechada","Vinicius de Moraes","Infraestrutura","Feito","NAO","19m","NAO","1h 8m","14/01/2026, 06:29:54"
"GC-8798","[System] Incident","OUR_A3_CTO_10G - INDISPONÍVEL","Fechada","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","NAO","1h 44m","13/01/2026, 18:02:59"
"GC-8796","[System] Incident","PTP Bernardino de Campos x Piraju indisponível","Fechada","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","NAO","3h 29m","13/01/2026, 14:50:32"
"GC-8791","[System] Incident","SPT Backup x Prefeitura - Indisponivel","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 45m","13/01/2026, 11:13:36"
"GC-8789","[System] Incident","FTRLK_RECPARAISOxBSECA_AC Indisponível","Fechada","Matheus Esposto Sagae","N/A","Feito","NAO","23m","NAO","21m","13/01/2026, 10:37:56"
"GC-8785","[System] Incident","CLPL Alto Dos Diogos off","Fechada","Leonardo Henrique ","N/A","Rejeitado","NAO","4m","NAO","4m","12/01/2026, 17:16:12"
"GC-8783","[System] Incident","Caixa Fazenda do Estado sem sinal","Fechada","Julberto Capra Jr","N/A","Feito","SIM","31m","NAO","2h 1m","12/01/2026, 15:12:11"
"GC-8782","[System] Incident","FTR_CX_10E1 - Indisponível","Fechada","julia marcelino","N/A","Feito","NAO","3m","NAO","41m","12/01/2026, 10:25:48"
"GC-8781","[System] Incident","BCI_CX_40 e ramificações - Indisponivel","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 54m","12/01/2026, 10:16:17"
"GC-8776","[System] Incident","OUR_A7_CTO_08F e OUR_A7_CTO_08G OFF","Fechada","Leonardo Henrique ","N/A","Concluído","NAO","19m","NAO","2h 22m","11/01/2026, 16:39:11"
"GC-8775","[System] Incident","TAG Torre Cednet OFF","Fechada","Leonardo Henrique ","N/A","Feito","NAO","8m","NAO","1h 52m","11/01/2026, 16:25:21"
"GC-8774","[System] Incident","CLPLAP_JURANDIR_LESTE_AC","Fechada","Fernando Felipe Constantino Callegari","N/A","Feito","SIM","57m","NAO","56m","11/01/2026, 15:28:55"
"GC-8771","[System] Incident","Aprust x Prefeitura - Indisponivel","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 38m","11/01/2026, 10:08:57"
"GC-8770","[System] Incident","LAG Bairro Dourado - Indisponível","Fechada","João Gabriel Povoa de Goes","N/A","Feito","SIM","1h 5m","NAO","1h 32m","11/01/2026, 09:42:43"
"GC-8769","[System] Incident","CLPL Morro Chato - Indisponível","Fechada","Emanuel","N/A","Feito","SIM","1h 24m","NAO","1h 26m","11/01/2026, 08:06:46"
"GC-8768","[System] Incident","CLPL Jurandir - Indisponível","Fechada","Emanuel","N/A","Feito","SIM","1h 14m","NAO","1h 22m","11/01/2026, 07:45:47"
"GC-8767","[System] Incident","RC CX D´água Ponta das Garças (F) - INTERMITENTE","Fechada","Gustavo Gigliotte Teixeira","N/A","Feito","NAO","11m","NAO","1h 7m","10/01/2026, 16:45:20"
"GC-8766","[System] Incident","IPP_CTO_21B - OFF","Fechada","Gustavo Gigliotte Teixeira","N/A","Duplicado","NAO","21m","NAO","21m","10/01/2026, 16:29:54"
"GC-8765","[System] Incident","OLT1-IPP-DATACOM 1/1/4 - Indisponível ","Fechada","Luan Borges","N/A","Feito","NAO","11m","NAO","3h 34m","10/01/2026, 16:29:51"
"GC-8764","[System] Incident","OUR_VP_CTO_08 - OFF","Fechada","Gustavo Gigliotte Teixeira","N/A","Feito","NAO","12m","NAO","2h 32m","10/01/2026, 15:45:07"
"GC-8762","[System] Incident","TAG Torre Cednet (F) - indisponivel","Fechada","Emanuel","N/A","Feito","NAO","10m","NAO","1h 50m","10/01/2026, 07:46:56"
"GC-8761","[System] Incident","SCRP_CTO_137D - Indisponível ","Fechada","Julio Cesar","Infraestrutura","Feito","NAO","13m","NAO","5h 34m","09/01/2026, 19:00:27"
"GC-8758","[System] Incident","FTR_CX_23B - OFF","Fechada","Gustavo Gigliotte Teixeira","N/A","Feito","NAO","15m","NAO","1h 53m","09/01/2026, 14:57:32"
"GC-8757","[System] Incident","OUR_A4_CTO_56D - Los","Fechada","Julberto Capra Jr","N/A","Feito","SIM","35m","NAO","53m","09/01/2026, 10:55:21"
"GC-8755","[System] Incident","OUR_A1_CX_05B sem splitter de 1/8","Fechada","vicente dutra de sousa","N/A","Rejeitado","NAO","19m","NAO","19m","09/01/2026, 08:50:14"
"GC-8754","[System] Incident","CQC Sítio 3 Irmãs - Indisponível ","Fechada","julia marcelino","N/A","Feito","NAO","10m","NAO","2h 36m","09/01/2026, 08:26:05"
"GC-8753","[System] Incident","OLT-FAZENDA-ESTADO indisponível","Fechada","Matheus Esposto Sagae","Infraestrutura","Duplicado","NAO","1m","NAO","1m","09/01/2026, 08:20:25"
"GC-8752","[System] Incident","OLT-FAZENDA-ESTADO - indisponivel","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 49m","09/01/2026, 08:19:36"
"GC-8751","[System] Incident","IPAP_MOTELCAST_LESTE_AC - Indisponivel","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","56m","08/01/2026, 21:03:47"
"GC-8750","[System] Incident","ASB_CTO_17A2 - INDISPONÍVEL","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 39m","08/01/2026, 20:55:41"
"GC-8748","[System] Incident","Ilha Bela - Superaquecimento - Indisponibilidade","Fechada","NOC Grupo Cednet","N/A","Não fazer","N/A (Excluído)","N/A (Excluído)","NAO","2m","08/01/2026, 16:31:05"
"GC-8747","[System] Incident","CHV_CTO_07A1 Indisponível","Fechada","Maria Luíza Oliveira e Silva","N/A","Feito","NAO","8m","NAO","6m","08/01/2026, 13:28:01"
"GC-8746","[System] Incident","ASB_CTO_17A1 - Indisponivel","Fechada","Emanuel","N/A","Concluído","NAO","18m","NAO","3h 50m","08/01/2026, 10:29:22"
"GC-8745","[System] Incident","SG Silo Bala Cerealista - Indisponivel","Fechada","Emanuel","N/A","Feito","NAO","6m","NAO","6m","08/01/2026, 09:21:08"
"GC-8742","[System] Incident","IP MOTEL CASTELINHO - Indisponivel","Fechada","Emanuel","N/A","Feito","NAO","0m","NAO","0m","08/01/2026, 07:47:28"
"GC-8738","[System] Incident","CHV_CTO_07A2 - Indisponível","Fechada","Guilherme Bacchiega de Jesus","N/A","Feito","NAO","18m","NAO","5h 13m","07/01/2026, 22:16:12"
"GC-8734","[System] Incident","CLPL Residencial Ilha Bela Intermetente","Fechada","Leonardo Henrique ","N/A","Rejeitado","NAO","6m","NAO","6m","07/01/2026, 17:18:07"
"GC-8733","[System] Incident","IP Motel Castelinho - Intermitente","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","56m","07/01/2026, 14:56:50"
"GC-8728","[System] Incident","FTRAP_TORRETV_LEFT_AC barrando em 100MB","Fechada","Gabriel Almeida Mattos","N/A","Rejeitado","NAO","18m","NAO","17m","06/01/2026, 20:12:38"
"GC-8727","[System] Incident","CLPL Boa Vista - Indisponível ","Fechada","Marcos Vinicius Cardoso","N/A","Feito","NAO","4m","NAO","4m","06/01/2026, 19:28:08"
"GC-8726","[System] Incident","CLPL Recanto Paraíso - Indisponivel.","Fechada","Vinicius de Oliveira da Silva","N/A","Feito","NAO","6m","NAO","6m","06/01/2026, 19:25:34"
"GC-8724","[System] Incident","PRJ-OLT3-DATACOM PON 1//1/4 - Indisponível","Fechada","Luan Borges","N/A","Concluído","NAO","12m","NAO","2h 46m","06/01/2026, 16:38:32"
"GC-8723","[System] Incident","TAG_TAQ_CX_05A - indisponível","Fechada","Fernando Felipe Constantino Callegari","N/A","Feito","NAO","11m","NAO","11m","06/01/2026, 15:59:45"
"GC-8721","[System] Incident","CT_CTO_18E12 - Indisponivel","Fechada","Daniel","N/A","Duplicado","NAO","4m","NAO","5m","06/01/2026, 12:25:53"
"GC-8716","[System] Incident","CLPL Residencial Ilha Bela (F) - Indisponivel","Fechada","Vinicius de Oliveira da Silva","N/A","Feito","NAO","26m","NAO","27m","05/01/2026, 19:30:59"
"GC-8715","[System] Incident","IPP_CTO_10A4 off","Fechada","marco antonio pereira rodrigues","N/A","Concluído","NAO","19m","NAO","2h 33m","05/01/2026, 19:25:40"
"GC-8714","[System] Incident","IPP_CTO_10A4 - Indisponível","Fechada","Guilherme Bacchiega de Jesus","N/A","Duplicado","NAO","22m","NAO","22m","05/01/2026, 19:24:09"
"GC-8713","[System] Incident","LINK BRASIL - Intermitente ","Fechada","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","N/A (Excluído)","05/01/2026, 18:15:45"
"GC-8712","[System] Incident","Indisponibilidade CT_CX_18D","Fechada","Alexsander de Oliveira Brazão","Infraestrutura","Feito","NAO","29m","SIM","6h 48m","05/01/2026, 16:24:33"
"GC-8709","[System] Incident","Timburi - PPPoe OFF","Fechada","Gustavo Gigliotte Teixeira","N/A","Feito","NAO","3m","NAO","40m","05/01/2026, 14:34:50"
"GC-8708","[System] Incident","PTP Cerqueira César x Avaré indisponível. ","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 29m","05/01/2026, 12:40:56"
"GC-8706","[System] Incident","ILHA_SOL_CX_01 até 03","Fechada","Fernando Felipe Constantino Callegari","N/A","Duplicado","NAO","12m","NAO","12m","05/01/2026, 12:31:57"
"GC-8699","[System] Incident","TBRAP_IGREJA_305W_AC OFF","Fechada","Gabriel Almeida Mattos","N/A","Feito","NAO","7m","NAO","25m","04/01/2026, 19:14:04"
"GC-8698","[System] Incident","PRJ_CX_10F1 e ramificações","Fechada","Fernando Felipe Constantino Callegari","N/A","Feito","NAO","5m","NAO","52m","04/01/2026, 15:22:08"
"GC-8696","[System] Incident","FTRAP_KIKO2_M5 off","Fechada","marco antonio pereira rodrigues","N/A","Feito","NAO","7m","NAO","1h 40m","03/01/2026, 23:57:42"
"GC-8695","[System] Incident","caixa off OUR_A4_CTO_09B","Fechada","vicente dutra de sousa","N/A","Feito","NAO","12m","NAO","2h 23m","03/01/2026, 12:36:16"
"GC-8691","[System] Incident","SCRP PREDIO SAN RAFAEL - Indisponivel ","Fechada","Emanuel","N/A","Feito","NAO","9m","NAO","9m","03/01/2026, 07:17:48"
"GC-8690","[System] Incident","TJP BAIRRO FELIX - Intermitente","Fechada","luiz henrique da silva","N/A","Duplicado","NAO","23m","NAO","29m","02/01/2026, 19:35:25"
"GC-8687","[System] Incident","PRJ_CX_NV_01B Indisponível","Fechada","Matheus Esposto Sagae","N/A","Feito","NAO","6m","NAO","6m","02/01/2026, 12:18:14"
"GC-8686","[System] Incident","FTR_CTO_01C - Indisponível","Fechada","Luan Borges","Infraestrutura","Feito","SIM","40m","SIM","8h 16m","02/01/2026, 11:57:55"
"GC-8683","[System] Incident","CLPL_MINGO_CX_03 - Indisponível","Fechada","julia marcelino","N/A","Feito","NAO","14m","NAO","14m","01/01/2026, 18:27:25"
"GC-8681","[System] Incident","OUR_A8_CTO_05H - Indisponível","Fechada","Marcio David Pereira do Carmo","N/A","Concluído","SIM","53m","NAO","2h 48m","01/01/2026, 15:47:58"
"GC-8680","[System] Incident","PM_CX_01 e ramificações off","Fechada","Luiz Gustavo Bachiega","N/A","Concluído","SIM","40m","NAO","42m","01/01/2026, 15:16:36"
"GC-8679","[System] Incident","RC Quinta da Bella Vista  - Indisponível","Fechada","Emanuel","Infraestrutura","Feito","NAO","26m","NAO","24m","01/01/2026, 15:15:09"
"GC-8940","[System] Problem","FTR Barra Seca X Aguinaldo x CLPL Recanto Paraiso - Interferência","Fechada","Maria Luíza Oliveira e Silva","Infraestrutura","Feito","NAO","16m","NAO","2h 4m","31/01/2026, 10:23:16"
"GC-8937","[System] Problem","TJP ECTA - Perda de Pacote","Fechada","Andrew Oliveira","N/A","Feito","NAO","4m","NAO","1h 31m","30/01/2026, 20:49:52"
"GC-8927","[System] Problem","GC FTR Rec. Passaros - Problema no banco de bateria.","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","SIM","633h 48m","29/01/2026, 15:52:52"
"GC-8915","[System] Problem","TJPAPBAIRROFELIX6_AC - Perda de pacotes","Fechada","Andrew Oliveira","Infraestrutura","Feito","NAO","7m","NAO","7m","28/01/2026, 22:56:47"
"GC-8909","[System] Problem","SCRP_CTO_137A8 - Potencia alta","Fechada","Julberto Capra Jr","N/A","Feito","NAO","20m","NAO","23m","28/01/2026, 14:12:24"
"GC-8906","[System] Problem","SB TORRE CELULAR - Barrada em 100 megas","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","SIM","9h 44m","27/01/2026, 20:18:09"
"GC-8891","[System] Problem","Possível interferência TJPAP_BAIRROFELIX6_AC ","Fechada","Gabriel Almeida Mattos","Infraestrutura","Não fazer","NAO","4m","NAO","1h 4m","26/01/2026, 20:49:25"
"GC-8884","[System] Problem","CPD Ribeirão Claro  - Sem energia","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","SIM","9h 16m","25/01/2026, 08:28:06"
"GC-8879","[System] Problem","SRTAP_EDUVALE_OESTE_AC - Barrado em 100Mb","Fechada","Andrew Oliveira","Infraestrutura","Feito","SIM","31m","SIM","7h 35m","23/01/2026, 20:29:24"
"GC-8878","[System] Problem","FTRAP_BPINHEIRO3_AC Lentidão","Fechada","Gabriel Almeida Mattos","Infraestrutura","Feito","NAO","9m","NAO","7m","23/01/2026, 19:48:02"
"GC-8875","[System] Problem","FTR Sitio Sao Pedro - Sem energia","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","12m","22/01/2026, 22:46:49"
"GC-8859","[System] Problem","OLT FAZENDA DO ESTADO - Sem gerência","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","4h 9m","20/01/2026, 21:46:16"
"GC-8832","[System] Problem","CLPL_CX_41B db alto","Fechada","Mayara Fernandes Figueiredo","N/A","Feito","NAO","7m","NAO","2h 43m","17/01/2026, 16:54:26"
"GC-8820","[System] Problem","FTRAP_BARRASECA_SO_AC - Manutenção corretiva","Fechada","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","SIM","57h 48m","15/01/2026, 15:29:04"
"GC-8814","[System] Problem","SCRP_CTO_121E - Sinal Alto","Fechada","julia marcelino","Infraestrutura","Concluído","NAO","0m","NAO","4h 57m","15/01/2026, 07:28:26"
"GC-8808","[System] Problem","SCRP_CTO_90D - DB alto","Fechada","Alisson Miguel Bertocci","Infraestrutura","Concluído","SIM","58m","SIM","69h 9m","14/01/2026, 15:12:14"
"GC-8790","[System] Problem","Caixa com Sinal Alto - OUR_A3_CTO_10","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","32m","13/01/2026, 10:51:33"
"GC-8784","[System] Problem","Verificação CLPL_CX_49E","Pending","Alexsander de Oliveira Brazão","N/A","Em Aberto","NAO","13m","N/A","N/A","12/01/2026, 16:04:09"
"GC-8773","[System] Problem","CLONE - Obra CPFL - Ribeirão claro","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1m","11/01/2026, 14:23:02"
"GC-8759","[System] Problem","FTR Recanto dos Pássaros x Torre TV","Fechada","Julberto Capra Jr","Infraestrutura","Feito","NAO","18m","NAO","23m","09/01/2026, 16:49:17"
"GC-8756","[System] Problem","Ilha Bela - Superaquecimento - Indisponibilidade ","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 26m","09/01/2026, 09:51:00"
"GC-8749","[System] Problem","IPAP_MOTELCAST_LESTE_AC - Intermitente","Fechada","Marcos Vinicius Cardoso","N/A","Rejeitado","NAO","4m","NAO","1m","08/01/2026, 20:35:33"
"GC-8743","[System] Problem","IP MOTEL CASTELINHO - Intermitente","Fechada","Emanuel","Infraestrutura","Feito","NAO","1m","NAO","5h 7m","08/01/2026, 08:01:31"
"GC-8737","[System] Problem","IP Distrito Industrial - Barrado em 100 Mbps","Fechada","NOC Grupo Cednet","N/A","Concluído","N/A (Excluído)","N/A (Excluído)","NAO","28m","07/01/2026, 20:40:53"
"GC-8735","[System] Problem","CLPL Residencial Ilha Bela - Intermitente","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","1h 35m","07/01/2026, 17:55:40"
"GC-8732","[System] Problem","IPP_CAMPING_CTO_01 - Intermitente.","Fechada","João Gabriel Povoa de Goes","N/A","Feito","NAO","29m","NAO","2h 28m","07/01/2026, 11:20:14"
"GC-8729","[System] Problem","FTRAP_TORRETV_LEFT_AC barrando em 100MB","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 55m","06/01/2026, 21:26:17"
"GC-8722","[System] Problem","OUR_A4_CTO_56F - Atenuada","Fechada","Julberto Capra Jr","Infraestrutura","Feito","SIM","34m","NAO","5h 19m","06/01/2026, 15:11:12"
"GC-8720","[System] Problem","IXC Soft - Problemas com Relatórios e Clientes Off no sistema.","Fechada","T.I - Grupo CEDNET","N/A","Feito","NAO","0m","NAO","2h 53m","06/01/2026, 12:11:41"
"GC-8719","[System] Problem","PTP Óleo x Águas de Santa Barbará - Erros interface","Fechada","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","SIM","86h 52m","06/01/2026, 10:11:43"
"GC-8717","[System] Problem","GC LAG Justo 3 - Intermitente","Fechada","Maria Luíza Oliveira e Silva","Infraestrutura","Feito","NAO","0m","SIM","25h 2m","06/01/2026, 07:36:19"
"GC-8707","[System] Problem","PTP Cerqueira César x Avaré indisponível. ","Fechada","NOC Grupo Cednet","N/A","Rejeitado","N/A (Excluído)","N/A (Excluído)","NAO","7m","05/01/2026, 12:33:15"
"GC-8703","[System] Problem","SCRP Torre Fazenda - Sem energia","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","SIM","14h 29m","05/01/2026, 08:37:55"
"GC-8700","[System] Problem","CHV_CX_22","Fechada","NOC Grupo Cednet","N/A","Rejeitado","N/A (Excluído)","N/A (Excluído)","NAO","0m","05/01/2026, 07:51:29"
"GC-8697","[System] Problem","Sem energia - IP Distrito","Fechada","NOC Grupo Cednet","N/A","Feito","N/A (Excluído)","N/A (Excluído)","SIM","10h 21m","04/01/2026, 13:38:01"
"GC-8689","[System] Problem","TJP BAIRRO FELIX - Intermitente","Fechada","Andrew Oliveira","N/A","Feito","NAO","20m","NAO","22m","02/01/2026, 19:34:56"
"GC-8685","[System] Problem","LAGAP_DOURADO_75E_M5 - Com perda de pacotes.","Fechada","João Gabriel Povoa de Goes","N/A","Duplicado","NAO","7m","NAO","7m","02/01/2026, 11:33:15"
"GC-8684","[System] Problem","LAG Bairro Dourado Intermitente ","Fechada","Maria Luíza Oliveira e Silva","N/A","Feito","NAO","22m","NAO","1h 47m","02/01/2026, 11:29:18"
"GC-8908","[System] Service request","Ativação das Torres de Telefonia da Unifit","Waiting for support","Infraestrutura","Infraestrutura","Em Aberto","N/A (Excluído)","N/A (Excluído)","N/A","N/A","28/01/2026, 07:57:58"
"GC-8871","[System] Service request","SCRP_CX_189C – Caixa instalada no local, sem splitagem e sem chegada de fibra óptica.","Resolvido","Julberto Capra Jr","N/A","Feito","NAO","16m","N/A","N/A","22/01/2026, 15:19:27"
"GC-8857","[System] Service request","CHV_CX_38 - Caixa Caida","Fechada","Julberto Capra Jr","N/A","Concluído","NAO","4m","N/A","N/A","20/01/2026, 11:57:23"
"GC-8848","[System] Service request","Abertura de caixa no Bairro Novo – Ribeirão Claro.","Resolvido","Julberto Capra Jr","N/A","Feito","NAO","7m","N/A","N/A","19/01/2026, 11:47:42"
"GC-8793","[System] Service request","Abertura de Caixa em Sta Cruz Bairro Novo","Resolvido","Julberto Capra Jr","N/A","Feito","SIM","82h 13m","N/A","N/A","13/01/2026, 13:29:23"
"GC-8787","[System] Service request","OUR_A3_CX_03G1 - Ame Preventiva na caixa","Em Progresso","Julberto Capra Jr","N/A","Em Aberto","SIM","52h 53m","N/A","N/A","13/01/2026, 09:52:32"
"GC-8711","[System] Service request","PM_CX_03A - Sem Splitagem","Resolvido","Julberto Capra Jr","N/A","Feito","NAO","5m","N/A","N/A","05/01/2026, 16:23:26"
"GC-8701","[System] Service request","CHV_CX_22","Waiting for support","NOC Grupo Cednet","N/A","Em Aberto","N/A (Excluído)","N/A (Excluído)","N/A","N/A","05/01/2026, 07:53:07"
"GC-8688","[System] Service request","FTR_CX_35A - Preventiva","Waiting for support","Julberto Capra Jr","N/A","Em Aberto","NAO","19m","N/A","N/A","02/01/2026, 12:28:12"
